time,equity,funding_pct,coll_pct,note,book
2026-07-14 06:00 UTC,1008.32,0.0245,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-16 06:00 UTC,1009.2,0.0624,0.0247,accrued 2.00d; REBALANCED (0 legs changed),NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-17 06:00 UTC,1009.61,0.0281,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-18 06:00 UTC,1009.95,0.0213,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-19 06:00 UTC,1010.36,0.0284,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-20 06:00 UTC,1010.74,0.026,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-21 06:00 UTC,1011.14,0.0267,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-22 06:00 UTC,1011.51,0.0245,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-23 06:00 UTC,1011.86,0.022,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
2026-07-24 06:00 UTC,1012.23,0.0242,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; BTC@hyperliquid; ETH@hyperliquid; BNB@hyperliquid
